size_mw,capex_per_mw,capex_equipment,capex_bos,capex_total,savings_vs_1mw
1,850000.0,850000.0,127500.0,977500.0,0.0
5,841393.9393939395,4206969.696969697,631045.4545454546,4838015.151515152,1.0124777183600608
10,830636.3636363636,8306363.636363637,1245954.5454545454,9552318.181818182,2.2780748663101646
20,809121.2121212122,16182424.242424242,2427363.6363636362,18609787.87878788,4.809269162210339
50,744575.7575757576,37228787.878787875,5584318.181818181,42813106.060606055,12.402852049910873
100,637000.0,63700000.0,9555000.0,73255000.0,25.058823529411768
200,637000.0,127400000.0,19110000.0,146510000.0,25.058823529411768
